player_id,from_id,to_id,date
31552,631,123,2010-08-09
31552,123,631,2010-05-31
31552,631,123,2009-08-06
31552,123,631,2009-05-25
31552,631,123,2009-01-06
31552,873,631,2008-05-14
31552,631,873,2008-03-27
31552,123,631,2008-03-26
31552,631,123,2008-02-28
31552,123,631,2007-12-16
31552,631,123,2007-11-06
31552,123,631,2007-07-01
88709,5,123,2011-07-01
88709,123,5,2011-06-30
186790,1435,123,2016-12-31
186790,123,1435,2016-08-30
99452,281,123,2012-01-01
99452,123,281,2011-02-01
99452,281,123,2011-01-01
99452,123,281,2010-03-01
99452,281,123,2010-02-01
99452,123,281,2009-07-01
121411,1075,123,2016-07-01
121411,123,1075,2016-06-30
121411,1075,123,2016-01-18
121411,123,1075,2015-07-01
121411,1050,123,2014-06-30
121411,123,1050,2014-01-30
314678,5,418,2023-06-30
314678,418,5,2021-07-19
314678,5,418,2021-06-30
314678,418,5,2020-09-04
314678,281,418,2019-01-06
314678,123,281,2018-01-01
186590,29,281,2016-08-09
186590,123,29,2013-01-31
406635,123,281,2017-07-01
447661,281,405,2019-07-25
447661,12321,281,2019-06-30
447661,281,12321,2017-08-01
447661,978,281,2017-07-15
447661,123,978,2016-07-16
566799,123,1132,2023-07-20
668265,10010,123,2023-12-31
668265,123,10010,2023-01-13
668265,2462,123,2021-08-31
668265,123,2462,2021-03-01
284730,16,281,2022-09-01
284730,123,16,2018-01-15
203853,281,11,2022-07-22
203853,383,281,2017-06-30
203853,281,383,2016-08-26
203853,123,281,2016-07-04
3540,985,123,2011-07-07
3540,123,985,2001-07-01
3540,1096,123,2001-05-21
3540,123,1096,2001-01-04
3540,989,123,2000-03-20
3540,123,989,2000-01-20
475959,23826,281,2023-08-05
475959,123,23826,2021-07-01
61891,995,210,2023-01-09
61891,123,995,2018-07-18
61891,985,123,2014-01-31
61891,123,985,2013-05-31
61891,985,123,2012-07-01
61891,123,985,2008-07-01
61891,2462,123,2008-01-01
429790,1095,123,2024-07-01
429790,123,1095,2023-06-30
429790,1095,123,2022-09-08
429790,281,1095,2022-01-30
429790,317,281,2022-01-01
429790,281,317,2020-10-05
429790,123,281,2020-06-30
429790,281,123,2018-08-03
429790,123,281,2018-06-30
429790,281,123,2017-07-11
429790,123,281,2017-07-09
576121,123,281,2024-05-31
576121,281,123,2024-02-01
576121,1421,281,2024-01-31
576121,281,1421,2023-07-23
576121,123,281,2023-05-31
576121,281,123,2023-01-10
576121,123,281,2023-01-01
581669,123,1132,2024-06-30
581669,1132,123,2024-02-01
581669,123,1132,2023-06-30
581669,1132,123,2023-01-30
581669,123,1132,2022-07-01
351749,379,281,2024-06-30
351749,281,379,2024-01-26
351749,399,281,2022-07-04
351749,123,399,2015-07-01
649452,1031,281,2024-05-31
649452,281,1031,2023-07-21
649452,244,281,2023-06-30
649452,281,244,2022-08-17
649452,1095,281,2022-06-30
649452,281,1095,2021-07-01
649452,354,281,2021-06-30
649452,281,354,2020-07-30
